Date,Day_type,School_holiday,Winter,Volume
01/04/2013,EM,1,0,NA
02/04/2013,WE,1,0,NA
03/04/2013,WE,1,0,NA
04/04/2013,WE,1,0,NA
05/04/2013,WE,1,0,NA
06/04/2013,SA,1,0,NA
07/04/2013,SU,1,0,NA
08/04/2013,WE,1,0,NA
09/04/2013,WE,1,0,NA
10/04/2013,WE,1,0,NA
11/04/2013,WE,1,0,NA
12/04/2013,WE,1,0,NA
13/04/2013,SA,1,0,NA
14/04/2013,SU,1,0,NA
15/04/2013,WE,1,0,NA
16/04/2013,WE,0,0,NA
17/04/2013,WE,0,0,NA
18/04/2013,WE,0,0,NA
19/04/2013,WE,0,0,NA
20/04/2013,SA,0,0,NA
21/04/2013,SU,0,0,NA
22/04/2013,WE,0,0,NA
23/04/2013,WE,0,0,NA
24/04/2013,WE,0,0,NA
25/04/2013,WE,0,0,NA
26/04/2013,WE,0,0,NA
27/04/2013,SA,0,0,NA
28/04/2013,SU,0,0,NA
29/04/2013,WE,0,0,NA
30/04/2013,WE,0,0,NA
01/05/2013,WE,0,0,NA
02/05/2013,WE,0,0,NA
03/05/2013,WE,0,0,NA
04/05/2013,SA,0,0,NA
05/05/2013,SU,0,0,NA
06/05/2013,M1,0,0,NA
07/05/2013,WE,0,0,NA
08/05/2013,WE,0,0,NA
09/05/2013,WE,0,0,NA
10/05/2013,WE,0,0,NA
11/05/2013,SA,0,0,NA
12/05/2013,SU,0,0,NA
13/05/2013,WE,0,0,NA
14/05/2013,WE,0,0,NA
15/05/2013,WE,0,0,NA
16/05/2013,WE,0,0,NA
17/05/2013,WE,0,0,NA
18/05/2013,SA,1,0,NA
19/05/2013,SU,1,0,NA
20/05/2013,WE,1,0,NA
21/05/2013,WE,1,0,NA
22/05/2013,WE,1,0,NA
23/05/2013,WE,1,0,NA
24/05/2013,WE,1,0,NA
25/05/2013,SA,1,0,NA
26/05/2013,SU,1,0,NA
27/05/2013,M2,1,0,NA
28/05/2013,WE,1,0,NA
29/05/2013,WE,1,0,NA
30/05/2013,WE,1,0,NA
31/05/2013,WE,1,0,NA
01/06/2013,SA,1,0,NA
02/06/2013,SU,1,0,NA
03/06/2013,WE,0,0,NA
04/06/2013,WE,0,0,NA
05/06/2013,WE,0,0,NA
06/06/2013,WE,0,0,NA
07/06/2013,WE,0,0,NA
08/06/2013,SA,0,0,NA
09/06/2013,SU,0,0,NA
10/06/2013,WE,0,0,NA
11/06/2013,WE,0,0,NA
12/06/2013,WE,0,0,NA
13/06/2013,WE,0,0,NA
14/06/2013,WE,0,0,NA
15/06/2013,SA,0,0,NA
16/06/2013,SU,0,0,NA
17/06/2013,WE,0,0,NA
18/06/2013,WE,0,0,NA
19/06/2013,WE,0,0,NA
20/06/2013,WE,0,0,NA
21/06/2013,WE,0,0,NA
22/06/2013,SA,0,0,NA
23/06/2013,SU,0,0,NA
24/06/2013,WE,0,0,NA
25/06/2013,WE,0,0,NA
26/06/2013,WE,0,0,NA
27/06/2013,WE,0,0,NA
28/06/2013,WE,0,0,NA
29/06/2013,SA,0,0,NA
30/06/2013,SU,0,0,NA
01/07/2013,WE,0,0,NA
02/07/2013,WE,0,0,NA
03/07/2013,WE,0,0,NA
04/07/2013,WE,0,0,NA
05/07/2013,WE,0,0,NA
06/07/2013,SA,0,0,NA
07/07/2013,SU,0,0,NA
08/07/2013,WE,0,0,NA
09/07/2013,WE,0,0,NA
10/07/2013,WE,0,0,NA
11/07/2013,WE,0,0,NA
12/07/2013,WE,0,0,NA
13/07/2013,SA,0,0,NA
14/07/2013,SU,0,0,NA
15/07/2013,WE,0,0,NA
16/07/2013,WE,0,0,NA
17/07/2013,WE,0,0,NA
18/07/2013,WE,0,0,NA
19/07/2013,WE,0,0,NA
20/07/2013,SA,1,0,NA
21/07/2013,SU,1,0,NA
22/07/2013,WE,1,0,NA
23/07/2013,WE,1,0,NA
24/07/2013,WE,1,0,NA
25/07/2013,WE,1,0,NA
26/07/2013,WE,1,0,NA
27/07/2013,SA,1,0,NA
28/07/2013,SU,1,0,NA
29/07/2013,WE,1,0,NA
30/07/2013,WE,1,0,NA
31/07/2013,WE,1,0,NA
01/08/2013,WE,1,0,NA
02/08/2013,WE,1,0,NA
03/08/2013,SA,1,0,NA
04/08/2013,SU,1,0,NA
05/08/2013,WE,1,0,NA
06/08/2013,WE,1,0,NA
07/08/2013,WE,1,0,NA
08/08/2013,WE,1,0,NA
09/08/2013,WE,1,0,NA
10/08/2013,SA,1,0,NA
11/08/2013,SU,1,0,NA
12/08/2013,WE,1,0,NA
13/08/2013,WE,1,0,NA
14/08/2013,WE,1,0,NA
15/08/2013,WE,1,0,NA
16/08/2013,WE,1,0,NA
17/08/2013,SA,1,0,NA
18/08/2013,SU,1,0,NA
19/08/2013,WE,1,0,NA
20/08/2013,WE,1,0,NA
21/08/2013,WE,1,0,NA
22/08/2013,WE,1,0,NA
23/08/2013,WE,1,0,NA
24/08/2013,SA,1,0,NA
25/08/2013,SU,1,0,NA
26/08/2013,A2,1,0,NA
27/08/2013,WE,1,0,NA
28/08/2013,WE,1,0,NA
29/08/2013,WE,1,0,NA
30/08/2013,WE,1,0,NA
31/08/2013,SA,1,0,NA
01/09/2013,SU,1,0,NA
02/09/2013,WE,1,0,NA
03/09/2013,WE,1,0,NA
04/09/2013,WE,0,0,NA
05/09/2013,WE,0,0,NA
06/09/2013,WE,0,0,NA
07/09/2013,SA,0,0,NA
08/09/2013,SU,0,0,NA
09/09/2013,WE,0,0,NA
10/09/2013,WE,0,0,NA
11/09/2013,WE,0,0,NA
12/09/2013,WE,0,0,NA
13/09/2013,WE,0,0,NA
14/09/2013,SA,0,0,NA
15/09/2013,SU,0,0,NA
16/09/2013,WE,0,0,NA
17/09/2013,WE,0,0,NA
18/09/2013,WE,0,0,NA
19/09/2013,WE,0,0,NA
20/09/2013,WE,0,0,NA
21/09/2013,SA,0,0,NA
22/09/2013,SU,0,0,NA
23/09/2013,WE,0,0,NA
24/09/2013,WE,0,0,NA
25/09/2013,WE,0,0,NA
26/09/2013,WE,0,0,NA
27/09/2013,WE,0,0,NA
28/09/2013,SA,0,0,NA
29/09/2013,SU,0,0,NA
30/09/2013,WE,0,0,NA
