Date,Time,Temp,Cloud_Cover,Wind_Speed,Humidity,Precip_Amt,Solar_Rad
01/04/2013,0,1,0,4,75,0,0
01/04/2013,0.041666667,0.9,7,3,76,0,0
01/04/2013,0.083333333,1.1,8,3,77,0,0
01/04/2013,0.125,1.5,7,4,77,0,0
01/04/2013,0.166666667,1.6,7,4,76,0,0
01/04/2013,0.208333333,1.8,7,4,75,0,0
01/04/2013,0.25,1.8,8,4,75,0,0
01/04/2013,0.291666667,1.7,8,4,76,0,0
01/04/2013,0.333333333,1.9,8,4,76,0,40
01/04/2013,0.375,2.3,8,4,74,0,80
01/04/2013,0.416666667,2.8,7,5,66,0,250
01/04/2013,0.458333333,3.1,8,5,66,0,260
01/04/2013,0.5,3.7,8,7,55,0,480
01/04/2013,0.541666667,3.5,7,9,57,0,590
01/04/2013,0.583333333,4,8,7,55,0,540
01/04/2013,0.625,4.7,7,7,49,0,1020
01/04/2013,0.666666667,5.9,1,9,45,0,1720
01/04/2013,0.708333333,5.3,2,7,50,0,1490
01/04/2013,0.75,4.9,1,7,48,0,990
01/04/2013,0.791666667,4.4,0,7,48,0,530
01/04/2013,0.833333333,3.5,0,7,52,0,70
01/04/2013,0.875,2.8,0,6,57,0,0
01/04/2013,0.916666667,1.9,0,5,62,0,0
01/04/2013,0.958333333,1.3,0,5,66,0,0
02/04/2013,0,0.8,0,4,70,0,0
02/04/2013,0.041666667,0.6,0,4,69,0,0
02/04/2013,0.083333333,0.4,0,3,75,0,0
02/04/2013,0.125,0.1,0,3,77,0,0
02/04/2013,0.166666667,0,0,3,78,0,0
02/04/2013,0.208333333,-0.3,0,3,81,0,0
02/04/2013,0.25,-0.3,0,3,82,0,0
02/04/2013,0.291666667,-0.1,0,4,83,0,0
02/04/2013,0.333333333,1.2,0,5,79,0,220
02/04/2013,0.375,3.2,0,6,71,0,720
02/04/2013,0.416666667,4.6,0,6,63,0,1450
02/04/2013,0.458333333,6.1,2,7,45,0,2000
02/04/2013,0.5,7,0,7,42,0,2460
02/04/2013,0.541666667,7.2,0,7,39,0,2600
02/04/2013,0.583333333,7.5,0,7,35,0,2390
02/04/2013,0.625,7.8,0,7,35,0,2530
02/04/2013,0.666666667,7.6,0,7,32,0,2250
02/04/2013,0.708333333,7.8,0,6,33,0,1750
02/04/2013,0.75,7.1,0,6,33,0,1140
02/04/2013,0.791666667,6.1,0,6,32,0,550
02/04/2013,0.833333333,5,0,5,37,0,80
02/04/2013,0.875,4.1,0,5,42,0,0
02/04/2013,0.916666667,3.4,0,5,49,0,0
02/04/2013,0.958333333,2.3,0,5,56,0,0
03/04/2013,0,1.5,0,4,63,0,0
03/04/2013,0.041666667,0.9,0,3,72,0,0
03/04/2013,0.083333333,0.4,0,4,77,0,0
03/04/2013,0.125,-0.1,0,4,81,0,0
03/04/2013,0.166666667,-0.3,0,3,84,0,0
03/04/2013,0.208333333,-0.3,0,3,86,0,0
03/04/2013,0.25,0,0,3,86,0,0
03/04/2013,0.291666667,0.3,0,4,86,0,0
03/04/2013,0.333333333,1.6,0,5,80,0,220
03/04/2013,0.375,2.8,2,7,72,0,620
03/04/2013,0.416666667,2.9,7,6,62,0,650
03/04/2013,0.458333333,3.7,7,7,56,0,900
03/04/2013,0.5,4,7,8,54,0,930
03/04/2013,0.541666667,4.2,8,8,53,0,810
03/04/2013,0.583333333,4.2,8,7,52,0,710
03/04/2013,0.625,5.6,5,6,48,0,1140
03/04/2013,0.666666667,5.1,6,9,46,0,1540
03/04/2013,0.708333333,4.5,8,6,51,0,710
03/04/2013,0.75,4.1,8,6,51,0,280
03/04/2013,0.791666667,4.4,8,6,49,0,150
03/04/2013,0.833333333,4.4,7,7,51,0,30
03/04/2013,0.875,4,8,6,51,0,0
03/04/2013,0.916666667,3.4,8,6,51,0,0
03/04/2013,0.958333333,2.9,8,7,55,0,0
04/04/2013,0,2.4,8,6,64,0,0
04/04/2013,0.041666667,1.9,8,5,72,0,0
04/04/2013,0.083333333,1.8,8,5,74,0,0
04/04/2013,0.125,1.1,6,5,79,0,0
04/04/2013,0.166666667,1,7,6,80,0,0
04/04/2013,0.208333333,0.6,1,4,82,0,0
04/04/2013,0.25,0.9,5,4,82,0,0
04/04/2013,0.291666667,1.4,7,5,81,0,0
04/04/2013,0.333333333,2.1,6,6,78,0,130
04/04/2013,0.375,2.7,7,7,74,0,390
04/04/2013,0.416666667,2.9,7,6,64,0,360
04/04/2013,0.458333333,2.4,8,7,68,0,310
04/04/2013,0.5,2,8,6,74,0.01,420
04/04/2013,0.541666667,2.3,8,5,74,0.01,240
04/04/2013,0.583333333,2.5,8,7,76,0.01,220
