Date,Day_type,School_holiday,Winter,Volume
01/04/2011,WE,0,0,9578921
02/04/2011,SA,0,0,8255044
03/04/2011,SU,0,0,9844592
04/04/2011,WE,0,0,10750554
05/04/2011,WE,0,0,12521471
06/04/2011,WE,0,0,7018117
07/04/2011,WE,0,0,5934680
08/04/2011,WE,0,0,5516956
09/04/2011,SA,1,0,6587144
10/04/2011,SU,1,0,6696686
11/04/2011,WE,1,0,6519423
12/04/2011,WE,1,0,8267597
13/04/2011,WE,1,0,10853767
14/04/2011,WE,1,0,9852840
15/04/2011,WE,1,0,8576201
16/04/2011,SA,1,0,7806076
17/04/2011,SU,1,0,6696839
18/04/2011,WE,1,0,6285735
19/04/2011,WE,1,0,4926056
20/04/2011,WE,1,0,4306718
21/04/2011,WE,1,0,4157625
22/04/2011,GF,1,0,3772125
23/04/2011,SA,1,0,3582294
24/04/2011,SU,1,0,3675689
25/04/2011,EM,1,0,4045967
26/04/2011,WE,1,0,5160389.74
27/04/2011,WE,1,0,5709255.32
28/04/2011,WE,1,0,7147567
29/04/2011,SU,1,0,5656911
30/04/2011,SA,1,0,4838266
01/05/2011,SU,1,0,5232572
02/05/2011,M1,1,0,6376084
03/05/2011,WE,1,0,7087909
04/05/2011,WE,0,0,6671990
05/05/2011,WE,0,0,6298717
06/05/2011,WE,0,0,4473327
07/05/2011,SA,0,0,3976513
08/05/2011,SU,0,0,4120718
09/05/2011,WE,0,0,3933492
10/05/2011,WE,0,0,3996834
11/05/2011,WE,0,0,4529535
12/05/2011,WE,0,0,4706142
13/05/2011,WE,0,0,4689456
14/05/2011,SA,0,0,5344326.7
15/05/2011,SU,0,0,5995477.86
16/05/2011,WE,0,0,5039848.04
17/05/2011,WE,0,0,4855382.86
18/05/2011,WE,0,0,4928304.46
19/05/2011,WE,0,0,4427307.76
20/05/2011,WE,0,0,4407822.61
21/05/2011,SA,0,0,4156860.23
22/05/2011,SU,0,0,4553432.25
23/05/2011,WE,0,0,4729522.35
24/05/2011,WE,0,0,4734244.79
25/05/2011,WE,0,0,4245300.29
26/05/2011,WE,0,0,4959589
27/05/2011,WE,0,0,5405910.95
28/05/2011,SA,1,0,5936280.15
29/05/2011,SU,1,0,4728590
30/05/2011,M2,1,0,4864363.8
31/05/2011,WE,1,0,4880144.54
01/06/2011,WE,1,0,4309639.16
02/06/2011,WE,1,0,3669201.64
03/06/2011,WE,1,0,3324139.19
04/06/2011,SA,1,0,3326640.06
05/06/2011,SU,1,0,4389407.31
06/06/2011,WE,0,0,5245175.25
07/06/2011,WE,0,0,4351300.02
08/06/2011,WE,0,0,4737126.1
09/06/2011,WE,0,0,4754944
10/06/2011,WE,0,0,5465964
11/06/2011,SA,0,0,5381248
12/06/2011,SU,0,0,6878096
13/06/2011,WE,0,0,4388566
14/06/2011,WE,0,0,3704150
15/06/2011,WE,0,0,3779859
16/06/2011,WE,0,0,4326746
17/06/2011,WE,0,0,5796328
18/06/2011,SA,0,0,4997050
19/06/2011,SU,0,0,4722943
20/06/2011,WE,0,0,4492644
21/06/2011,WE,0,0,3989736
22/06/2011,WE,0,0,4457394
23/06/2011,WE,0,0,4251650
24/06/2011,WE,0,0,4216602
25/06/2011,SA,0,0,4086744
26/06/2011,SU,0,0,3222057.22
27/06/2011,WE,0,0,2718384.45
28/06/2011,WE,0,0,2977691.07
29/06/2011,WE,0,0,3261408.27
30/06/2011,WE,0,0,3440076.51
01/07/2011,WE,0,0,3400647
02/07/2011,SA,0,0,3275601
03/07/2011,SU,0,0,3287396
04/07/2011,WE,0,0,2876290
05/07/2011,WE,0,0,3013485
06/07/2011,WE,0,0,3262316
07/07/2011,WE,0,0,3489128
08/07/2011,WE,0,0,3657883
09/07/2011,SA,0,0,3500332
10/07/2011,SU,0,0,3382061
11/07/2011,WE,0,0,3091525
12/07/2011,WE,0,0,3337586
13/07/2011,WE,0,0,3656478
14/07/2011,WE,0,0,3368030
15/07/2011,WE,0,0,3124354
16/07/2011,SA,0,0,3552006
17/07/2011,SU,0,0,4036014
18/07/2011,WE,0,0,4110371
19/07/2011,WE,0,0,3715137
20/07/2011,WE,0,0,3781670
21/07/2011,WE,0,0,3976458
22/07/2011,WE,1,0,3614663
23/07/2011,SA,1,0,3870191
24/07/2011,SU,1,0,3532217
25/07/2011,WE,1,0,3225472
26/07/2011,WE,1,0,3331656
27/07/2011,WE,1,0,3349610
28/07/2011,WE,1,0,3220547
29/07/2011,WE,1,0,3155612
30/07/2011,SA,1,0,3168014
31/07/2011,SU,1,0,3113463
01/08/2011,WE,1,0,2746762
02/08/2011,WE,1,0,2592679
03/08/2011,WE,1,0,2631267
04/08/2011,WE,1,0,2919752
05/08/2011,WE,1,0,2791643
06/08/2011,SA,1,0,3073952
07/08/2011,SU,1,0,3243568
08/08/2011,WE,1,0,3211416
09/08/2011,WE,1,0,3188911
10/08/2011,WE,1,0,3044865
11/08/2011,WE,1,0,3137685
12/08/2011,WE,1,0,2923346
13/08/2011,SA,1,0,3016433
14/08/2011,SU,1,0,2971244.98
15/08/2011,WE,1,0,3131553
16/08/2011,WE,1,0,3055496
17/08/2011,WE,1,0,3034207
18/08/2011,WE,1,0,3699163
19/08/2011,WE,1,0,3366972
20/08/2011,SA,1,0,3248089
21/08/2011,SU,1,0,3087840
22/08/2011,WE,1,0,3089390
23/08/2011,WE,1,0,3413809
24/08/2011,WE,1,0,3319577
25/08/2011,WE,1,0,3363936
26/08/2011,WE,1,0,3667871
27/08/2011,SA,1,0,3784735
28/08/2011,SU,1,0,3921512
29/08/2011,A2,1,0,4259113
30/08/2011,WE,1,0,4168173
31/08/2011,WE,1,0,3898987
01/09/2011,WE,1,0,3692746
02/09/2011,WE,1,0,3370791
03/09/2011,SA,1,0,3071612
04/09/2011,SU,1,0,3596062
05/09/2011,WE,1,0,3748753
06/09/2011,WE,0,0,4407174
07/09/2011,WE,0,0,4603507
08/09/2011,WE,0,0,4297770
09/09/2011,WE,0,0,3549876
10/09/2011,SA,0,0,3439321
11/09/2011,SU,0,0,3696892
12/09/2011,WE,0,0,3594087
13/09/2011,WE,0,0,4051071.59
14/09/2011,WE,0,0,4292216.46
15/09/2011,WE,0,0,4215327.84
16/09/2011,WE,0,0,3777493.99
17/09/2011,SA,0,0,4430651.71
18/09/2011,SU,0,0,5203166.56
19/09/2011,WE,0,0,4761537.83
20/09/2011,WE,0,0,4412974.23
21/09/2011,WE,0,0,4422032.72
22/09/2011,WE,0,0,4558985.59
23/09/2011,WE,0,0,4654035.13
24/09/2011,SA,0,0,4610243.39
25/09/2011,SU,0,0,4160880.56
26/09/2011,WE,0,0,3650786
27/09/2011,WE,0,0,4281925
28/09/2011,WE,0,0,3339345
29/09/2011,WE,0,0,3163041
30/09/2011,WE,0,0,3072907
01/10/2011,SA,0,0,3038265
02/10/2011,SU,0,0,3012092
03/10/2011,WE,0,0,2945205
04/10/2011,WE,0,0,3291449
05/10/2011,WE,0,0,3555910
06/10/2011,WE,0,0,4750551
07/10/2011,WE,0,0,6603610
08/10/2011,SA,0,0,7421769
09/10/2011,SU,0,0,4896396
10/10/2011,WE,0,0,4239143
11/10/2011,WE,0,0,4236815
12/10/2011,WE,0,0,4311108
13/10/2011,WE,0,0,4844660
14/10/2011,WE,0,0,5933825
15/10/2011,SA,0,0,7192963
16/10/2011,SU,0,0,8065199
17/10/2011,WE,0,0,7243512
18/10/2011,WE,0,0,8535161
19/10/2011,WE,0,0,10965160
20/10/2011,WE,0,0,12236304
21/10/2011,WE,1,0,11766652
22/10/2011,SA,1,0,10011046
23/10/2011,SU,1,0,8053417
24/10/2011,WE,1,0,7337698
25/10/2011,WE,1,0,7288603
26/10/2011,WE,1,0,9370813
27/10/2011,WE,1,0,8999464
28/10/2011,WE,1,0,8278883
29/10/2011,SA,1,0,7922229
30/10/2011,SU,1,1,7259253
31/10/2011,WE,0,1,6824359
01/11/2011,WE,0,1,7651998
02/11/2011,WE,0,1,8734075
03/11/2011,WE,0,1,6891010
04/11/2011,WE,0,1,7562616
05/11/2011,SA,0,1,9025445
06/11/2011,SU,0,1,11047141
07/11/2011,WE,0,1,10670061
08/11/2011,WE,0,1,11094087
09/11/2011,WE,0,1,9923852
10/11/2011,WE,0,1,9909034
11/11/2011,WE,0,1,11378558
12/11/2011,SA,0,1,9428225
13/11/2011,SU,0,1,9320294
14/11/2011,WE,0,1,12016386
15/11/2011,WE,0,1,13027577
16/11/2011,WE,0,1,14292936
17/11/2011,WE,0,1,11556285
18/11/2011,WE,0,1,11468707
19/11/2011,SA,0,1,12214264.51
20/11/2011,SU,0,1,14002279
21/11/2011,WE,0,1,13040125
22/11/2011,WE,0,1,12716005
23/11/2011,WE,0,1,13497756
24/11/2011,WE,0,1,12744211
25/11/2011,WE,0,1,12442871
26/11/2011,SA,0,1,13241774.55
27/11/2011,SU,0,1,12863703
28/11/2011,WE,0,1,15845706
29/11/2011,WE,0,1,12861950
30/11/2011,WE,0,1,14167844
