Date,Time,Temp,Cloud_Cover,Wind_Speed,Humidity,Precip_Amt,Solar_Rad
01/04/2011,0,11.9,7,4,88,0,0
01/04/2011,0.041666667,12.1,8,5,88,0,0
01/04/2011,0.083333333,12.1,7,5,86,0,0
01/04/2011,0.125,12.1,8,4,91,0,0
01/04/2011,0.166666667,12.2,8,6,92,0,0
01/04/2011,0.208333333,12.2,8,6,92,0,0
01/04/2011,0.25,11.8,8,8,66,0,0
01/04/2011,0.291666667,11.6,8,7,70,0,0
01/04/2011,0.333333333,11.8,8,7,87,0,40
01/04/2011,0.375,12,8,8,85,0,130
01/04/2011,0.416666667,12.7,8,9,82,0,260
01/04/2011,0.458333333,13,8,8,79,0,430
01/04/2011,0.5,14,8,8,76,0,690
01/04/2011,0.541666667,15.1,7,8,73,0,1570
01/04/2011,0.583333333,14.5,7,9,74,0,1030
01/04/2011,0.625,14.5,8,7,76,0,1010
01/04/2011,0.666666667,15.2,4,9,71,0,1280
01/04/2011,0.708333333,15.7,2,7,71,0,1220
01/04/2011,0.75,14.5,2,7,76,0,880
01/04/2011,0.791666667,14.8,2,6,80,0,420
01/04/2011,0.833333333,14.6,0,4,81,0,80
01/04/2011,0.875,14.2,0,5,82,0,0
01/04/2011,0.916666667,13.8,0,4,83,0,0
01/04/2011,0.958333333,13.7,0,3,82,0,0
02/04/2011,0,12.7,0,4,86,0,0
02/04/2011,0.041666667,12.4,0,4,86,0,0
02/04/2011,0.083333333,12.7,0,4,87,0,0
02/04/2011,0.125,12.3,0,3,90,0,0
02/04/2011,0.166666667,12.2,0,6,88,0,0
02/04/2011,0.208333333,12.6,0,3,88,0,0
02/04/2011,0.25,13,0,4,75,0,0
02/04/2011,0.291666667,13.1,0,5,74,0,0
02/04/2011,0.333333333,13.7,0,5,84,0,280
02/04/2011,0.375,14.2,0,5,82,0,510
02/04/2011,0.416666667,15.1,6,5,76,0,740
02/04/2011,0.458333333,15.6,7,6,74,0,960
02/04/2011,0.5,16.5,4,5,71,0,1140
